title,body,rating
Disappointed For Product,"I purchased this product at it hot delivered in just 15 hours,But I am totally disappointed because this Camera not works if you remove charging,It only works when I connect it with the charger,I don't know the issue,I return this.",1.0 out of 5 stars
Average action camera,"Its not fully 4k cam as mentioned it is interpolated 2880×2160 res. So i don't find recording on 4k res recomendable. You will not get that much clearity. As my experience ,indoor and night shoots not so impressive as you can see grain on videos as well as on pics. I have not used it in regular basis, so i can't comment on battery backups.. but as i have used it, i think battery backup is desent. It will last 45min or less on full HD 1920. Plus point is it has touch screen, which is more convenient and easy to control the UI. They also provide suffiecnt aceccerious for beginners. If you are a pro, i would recommend you should go for GoPro.",3.0 out of 5 stars
"Camera is good, cheated on mounts","Camera is absolutely nice, but the accesories are pathetic and has worse quality,Already received damaged parts of Mounts and most bad par is , they are not providing j hook and default mounts are not compatible to any j hooks, you have to purchase extra mounts with j hook, this clear cheat other Amazon doing or dealer, I am traveling in 5 do us to Ladakh hence unable o een replace now, so on complet loss of purchase.",5.0 out of 5 stars
Unsatisfied product,"With in one year use it's battery exploded, very bad expet from amazone selling verse products.I am quiting from your site. Please feed back me, if I get compensation will be highlight, SJ cam India The seller not giving any service through it's customer care service, you can check their contact number & e-mail id then you realize that",1.0 out of 5 stars
Charging port is wrong. FPV port on camera whereas the charging cable is mini USB.,The charging port is supposed to be mini USB but the SJ6 Legend I have got seems to have FPV port. Even the cable provided in the box does not fit as it is a mini USB cable as mentioned in the manual. Disappointed as I could not use the camera when I needed it the most as it ran out of charge.,1.0 out of 5 stars
No HDMI port available in it. Only USB port is given,"Hey people, the image shows that it has HDMI port but in real I got the product which has no HDMI port in it. Felt so bad and I thought was that a fake product as I purchase any product by watching youtube reviews. The product shown in YouTube has the HDMI port in it but I was cheated badly. Kindly do return until if you receive any such product.",3.0 out of 5 stars
Please don’t buy it otherwise you will repent later just like me.,"The media could not be loaded.
                




   I have bought the SJ6 legend in November 2020 and now it is not switched on. The battery shows fully charged but when I connect the adapter to the camera it works but when I remove the adapter it switches off. Thus I can’t use the camera as action camera because without the adapter it does not work. So please don’t buy it. Go for GoPro or other good options and protect your yourselves from being cheated. I am feeling so much frustrated.",1.0 out of 5 stars
Issue setting up the camera,There were issues while switching on the device. Screen freezes with some error. The click button doesn't work smoothly. The case is very hard to close once opened. It doesn't read the memory card properly,1.0 out of 5 stars
Best Product At this Price,One of the best action camera.good resolution and audio.. awesome video quality... lots of featurereally happy to own it.. but only thing that we got the j mount with this camera but the mount  does not fit..I recommend this camera..,4.0 out of 5 stars
Please help me out,"I have order it in August and now I'm in trouble with the product2days before I connect the camera to charge after 40minuts the display cracked due to battery issueThe battery is stuked in camera it self what do do please tell me i need your response. And also I have one year Warenty also , what is the solution for crack in display.",1.0 out of 5 stars
Good action cameras.,A good product could be a little more reasonable. Get all the required accessories with the product don't need to buy anything extra. Only difficulty is to use the buttons when out in water&dust proof casing,5.0 out of 5 stars
The bad quality,Quality of the product is very bad. Its been only 4 months since i bought but the battery got swollen and the screen came out of the body.So I don’t recommend this product.,1.0 out of 5 stars
Ok good,All good quality great video quality it's just osm but sometimes not detact memory card in video stopped recording in between and more small problems.,4.0 out of 5 stars
Worst buy from Amazon till now.,They delivered a non sealed package to me. The camera works fine but the battery life is pathetic. Battery doesn't last even 30 minutes.There is problem with the charging port also.The seller is a fraud. I didn't get some of the accessories also.,1.0 out of 5 stars
Very good action camera 👌,Action camera is good.. It's good camera for anyone to use and start with.. camera performance is very good during daylight and during night it needs bit more improvement to capture or record good images/videos,5.0 out of 5 stars
Nic,Nice video qualitybut i think battery backup not so goodAnd image stabilization no so smooth,5.0 out of 5 stars
Audio quality need to be increased,An awesome product n alternative to gopro. Video quality is upto the mark but audio quality n mic support is pathetic ...needs a lot of 'jugaad' in order to work properly. Otherwise a decent product,4.0 out of 5 stars
Bad service Amazon,Received an damaged product that has been used by someone battery damaged camera not starting tampered box thank you Amazon for the worst product,1.0 out of 5 stars
Awesome,Best budget action cameraThis is my first cameraWorth for this price,5.0 out of 5 stars
Videolapse not working,Videolapse not working within 10 days. Tried to contact customer care but they are also not replying,2.0 out of 5 stars
Budget go pro,For the price... Just go for it.. U feel good after using it.. But not for some one who wants best of the best... Its will deliver a good video but not the top notch...,5.0 out of 5 stars
Poor battery capacity,"Everything thing is good. But battery capacity is pathetic. Im gonna have to buy an extra battery now because of that hardly 30 minutes run time on full charge. For Moto vloggers, I suggest to get something else.",2.0 out of 5 stars
Best budget action camera,best for vlogs budget action action camera,5.0 out of 5 stars
True video Stabilization working  100 percent.,"The media could not be loaded.
                




   Product was good, packaging also good.  All instruments deliver to me safe and secure. Thanks Amazon for delivery early.. Makesme happy that's why I'll get 5star review.",5.0 out of 5 stars
Best camera,Best action Camera in Budget....and the beginners ke Liye ek number ha....bohot accha ha...main Ek YouTuber Hu....Mere Channel Pe jake dekhlo video ha keisa ha camera.... Channel Name-THE WB64 RIDER ❤️,5.0 out of 5 stars
Very bad,I ordered this camera and what is shows in the picture was totally different from each other and very bad video quality no stabilization fake camera very poor and the camera doesn't wort the price..I don't know what it was fault with me only bt if it is the real cam then it's worst don't waste ur money on this,1.0 out of 5 stars
a good product,"its worth the money, battery backup is qround 2 -2.5 hrs ,when connected via wifi discharges fast,but has excellent output quality",5.0 out of 5 stars
Good substitute of GoPro,Wonderful image quality after GoPro i find this the next best item to use. Gyro stabilization is same as GoPro. Goood value for money. Worth investing.,5.0 out of 5 stars
Shuruwat Krni hai ?,Beginners should  definitely buy This.Photo Quality ek number.  Shuruwaat krne k liye best hai... Touch B ache se chlti h... stabilization b Achi h... Got in 9k . It was Best.,5.0 out of 5 stars
Satisfied,"The media could not be loaded.
                




   It’s a great capturing device, no doubt it’s a fantastic gadget for a beginner with basic knowledge and transparency given by the company. Great value for money , a must buy gadget",5.0 out of 5 stars
Great video quality and stabilization. Best for beginners.,Video quality you get is best. Also stabilization is too good. Loved it.,5.0 out of 5 stars
NOT WORKING,NOT WORKING PROPERLY AFTER 1 WEEK,1.0 out of 5 stars
Value for money,"Product was quit good, but cable was not working,that was only issiue, overall value for money thanks to amazon",5.0 out of 5 stars
Basically simply a budget camer,Image stabilization is not upto the mark. Setting gets changed randomly any time,2.0 out of 5 stars
Battery problem,Battery problemI just return if it not work properly,3.0 out of 5 stars
Facing problem in 1 month,"within one month of purchase, can't connect camera with laptop.charging port problem. . . . not happy with product",1.0 out of 5 stars
Not good product,Worst product within 6 days its stabilization gets stoped working plz don't buy this product,1.0 out of 5 stars
SJCAM SJ6 LEGEND stopped working,SJCAM SJ6 LEGEND has stopped working within 4 months of purchase. How can I claim warranty for that.,1.0 out of 5 stars
Worst quality of gyro sensor,After only one use at second use gyro stopped working.Not starting again with lots changes to start gyro again.,1.0 out of 5 stars
Read this before u buy,Actually the product is good.1.Video quality is good2.stabilization is nice3.external mic is worst 🙄,3.0 out of 5 stars
Good product.,"Its an amazing product, but audio quality so bad with casing.",3.0 out of 5 stars
Cheap,Cheap products,1.0 out of 5 stars
Awesome experience...,Picture quality and videos quality is worth as per money... Really a good product..... In future i will buy many products of sj cam....,5.0 out of 5 stars
Bad picture quality,Picture quality is just bad which is not acceptable from a camera atleast,1.0 out of 5 stars
Awesome budget action cam,The camera is awesome at this budget. Only wished if the battery could last a lil more. Great purchase. Thank you amazon,5.0 out of 5 stars
Dont buy waste of money,Very bad video quality,1.0 out of 5 stars
Love this cam,Awesome product. If you want action cam then go for this I love ❤ this cam..,5.0 out of 5 stars
USB cable is missing and USB port is not working,"My package is missing the USB Cable. I bought USB from shop. Then, I came to know that USB port is not working.",1.0 out of 5 stars
Probuct is good but poor service support,Poor support from SJCAM on firmware update. Facing issues with 1.50 firmware.If anyone have the update please help me.,3.0 out of 5 stars
Local camera on sjcam6 lgend,Give me a wrong nd local camera on sjcam6legend box,1.0 out of 5 stars
Sj 6 legend,Good and genuine product,5.0 out of 5 stars
Don't purchase camera,Third class camera customer support is very bad don't purchase this camera,1.0 out of 5 stars
Good product in low range,Good product in low range,3.0 out of 5 stars
Heating,Everything is good at this price range but it is heating too much otherwise everything is good,5.0 out of 5 stars
external mic,we are unable to find external mic or the adapter for this mic can you solve this,3.0 out of 5 stars
Nice,Good one.Useful for capturing daily moments.,5.0 out of 5 stars
Cheap alternative for gopro,Good action camera under 9k. Does the jib at day. Not good for night,5.0 out of 5 stars
Excellent quality of videos,It is a excellent quality product. I am using this camera since 2 months really satisfied with the performance of the camera,5.0 out of 5 stars
Disappointed 🥺,"The media could not be loaded.
                




   Front display is not working 😒 any suggestions",3.0 out of 5 stars
Not good,Not good,1.0 out of 5 stars
Awesome camera but didn't received some of the accessories,Some mounts mentioned in the user manual were missing n also the brand stickers were also missing,4.0 out of 5 stars
Best under 11000,Good 👍,5.0 out of 5 stars
Battery backup not good,Battery backup worst,1.0 out of 5 stars
GoPro killer.,Only concern is that there are hot pixels appearing in low light photos.,5.0 out of 5 stars
Best in this range,Amazing video quality,5.0 out of 5 stars
good,good product,5.0 out of 5 stars
all good,all good,5.0 out of 5 stars
Awesome product,"The media could not be loaded.
                




   Superb product",5.0 out of 5 stars
Budget camera,Loved this product,5.0 out of 5 stars
No external mic option,Product is good but need the option for external mic,4.0 out of 5 stars
Good product,Good product worth for Money. Video quality is very nice,4.0 out of 5 stars
Totally unhappy,Wifi not working in any mobile spekers sound not good,1.0 out of 5 stars
Nothing doubt to purchase. Thanks 😘,Nothing doubt to purchase. Thanks 😘,5.0 out of 5 stars
Good,,4.0 out of 5 stars
Best action cam in this price range,,3.0 out of 5 stars
Voice quality,Camera is good but voice quality of recording is not upto the mark,4.0 out of 5 stars
good,good,4.0 out of 5 stars
best to see other alternatives,gyro not working,1.0 out of 5 stars
Good,Product is good and also I love this,4.0 out of 5 stars
Sj rocks,It is worth the money but don’t expect the standard of GoPro in it,5.0 out of 5 stars
nice,nice,5.0 out of 5 stars
Waste my money worst very worst waste waste waste waste,Very bad worst condition,1.0 out of 5 stars
Video quality is not adequate..,The video quality is not good....It's not natural... Doesn't provide a decent video quality concerning its price,1.0 out of 5 stars
This is not the camera for indoor shooting.,I wanted a video camera for online teaching. But this camera is giving fish eye problem in a room shooting.,3.0 out of 5 stars
buy at your own risk...,it shows blue colour to red object or red light..and also there is big big big problem in its firmware updates..hardware wise its ok but software wise its really disappointing..,1.0 out of 5 stars
Just go for it!,"The media could not be loaded.
                




   Worth the buy! Worth the money! I was thinking of buying gopro but didnt want to spend so much on actiom cam as i am new to it! Well i have been using it for 1 months now and the quality is awesome. You can check the video if you want proof. And for the memory card you can get 64 gb sandisk extreme. Its smooth. And battery last for around 1.40hours....the water proof casing works well.",5.0 out of 5 stars
"Stupid Gyro stabilization, doesn't connect to your phone always.","The media could not be loaded.
                




   Lost my SJCAM 6 legend after 3 months, thanks to it's awesome screw on the rotating J mount that they have provided. I can't believe it is such a small screw, it's my fault as well, I shouldn't have used that mount, but there was no alternative (I might be wrong).- They say that the gyro stabilization is good, I would honestly say that it's pathetic. If I mount the camera on the helmet, the shake can't be seen. But, if I take a shot using my hands, it fails miserably.- The app is a dumb app, it gets connected once and then it won't connect at all. You will have to restart your phone and then restart your camera, it very annoying when you have to do this all the time. Also, if by any chance your phone  is connected to your camera (first thank god) and if you happen to take it underwater, it gets disconnected just immediately! So, you have no clue what's happening underwater in case you wanted to keep it there.- Though there are many mounts, but they should have given a proper J mount that can be attached to the chin area of the helmet. I'm truly depressed because of this loss.- There is a waterproof screen attachment that is provided for the waterproof casing, which is so useless that it is better to use the present case as it is.- The touch is really nice but the options that are there in the camera, some are actually very stupid. It's irritating actually, some don't make any sense or you won't find any difference. But then, with such a budget you can't expect so much as well.- The wide angle is good, quality is not that great, you really can't compare this to GoPro's quality, obviously you will be disappointed.-2K and 4K are a joke, record at 1080@60FPS if you want some quality videos, you don't have a choice unfortunately.All I want to say is that, if you can wait for some time, save some money and get a GoPro, then that would be a better option that getting this camera. I might be venting everything out, but I lost my camera because of the rotating J mount. Also, if you have any friend of yours who owns an SJCAM, ask them for their honest opinions. Don't just believe on one YouTube review or online reviews, do a thorough research before you buy a camera. Go ahead if you want it immediately.P.s. the 3 stars are actually 2.5 stars for me.",3.0 out of 5 stars
Waste of money,"After a week, it stopped working, the customer service does not respond nor Amazon takes any responsibility.  Save your money & buy go pro",1.0 out of 5 stars
Stopped functioning,My camera has stopped working after 2 months onlyIt doesn't even start.i have to connect it with power bank inorder to record somethingAny customer support number???,1.0 out of 5 stars
Awesome product,Great camera.. We used it for event in our society sports meet. The pictures and videos came out great! Definitely recommend,5.0 out of 5 stars
Costly lil bit,Lil bit costly pricing is high 1000-1500,3.0 out of 5 stars
Price is high.,"Price is high, Its available at Banggood for  6,800/- Over all product is Good in video,  image quality and stability.",4.0 out of 5 stars
Super amazing camera. Will be posting pics soon,Awesome purchase,5.0 out of 5 stars
Worst,Worst cam ... inner battery pin will get broke easily,1.0 out of 5 stars
Excellent product,Really it was a splendid experience,5.0 out of 5 stars
A must have for wanderer's.,For a person who's fond of the open road this is a must have. Great pixel density.,5.0 out of 5 stars
Medium specs with good features,Ok,4.0 out of 5 stars
Parts missing,"Data cable, lense cap, 360 helmet mount is missing. Return second time as some items are not found in box.",5.0 out of 5 stars
Good for amateurs and much affordable at the same time.,"The media could not be loaded.
                




   A really good budget cam for people who want to start with adventure sports, biking, instruments etc. The only drawbacks are it's battery back up and the sound which is very less (when the video is played in the camera itself).",3.0 out of 5 stars
The little camera that can.,"At this price point, this is a great little camera. It's a good competitor to the more expensive action cameras around and can hold it's own in terms of build quality and picture quality. The waterproof housing is good and having used it on about a dozen dives up to 25m, the camera delivers. The wifi to transfer pictures to your phone is a great option, if a little fidgety. (Turn off the data on your phone to make the wifi connection work.) At this price point a good buy. Additional tip, for color correction of your dive photos use the dive plus (dive+) available on Android.",4.0 out of 5 stars
